I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Complete Transactions
@_,GENF.L,Genflow Biosciences plc,Healthcare,Biotechnology,0.00,0.60 - 0.61,0.63 - 0.67,0.03 - 0.07,0.62,1905.95,1617441,6,2.17,5
@_,GENI.L,GENinCode Plc,Healthcare,Diagnostics & Research,0.00,1.20 - 1.30,1.43 - 1.50,0.23 - 0.30,1.40,1749.78,910418,5,0.76,2
*_,GENL.L,Genel Energy plc,Energy,Oil & Gas E&P,0.00,60.20 - 60.60,61.00 - 62.44,0.80 - 2.24,59.30,348.48,167954,3,0.519,3
*_,GEO.L,Geo Exploration Limited,Energy,Oil & Gas E&P,1.00,0.20 - 0.20,0.21 - 0.22,0.01 - 0.02,0.20,990.33,40445030,8,-0.313,3
@_,GETB.L,GetBusy plc,Technology,Software Application,1.00,52.50 - 59.00,54.00 - 60.00,1.50 - 7.50,58.50,893.65,27090,2,0.114,5
*_,GEX.L,Georgina Energy PLC,Basic Materials,Other Industrial Metals & Mining,0.25,5.00 - 6.00,5.25 - 6.60,0.25 - 1.60,5.35,3293.62,956850,5,UNKNOWN,8
@_,GFIN.L,Gfinity plc,Communication Services,Internet Content & Information,0.00,0.08 - 0.08,0.09 - 0.09,0.01 - 0.01,0.09,1251.83,27221494,8,0.013,2
@_,GFM.L,Griffin Mining Limited,Basic Materials,Other Industrial Metals & Mining,0.60,180.50 - 189.05,187.34 - 191.10,6.84 - 10.60,189.00,843.96,9047,1,0.657,5
*_,GFRD.L,Galliford Try Holdings plc,Industrials,Engineering & Construction,0.33,429.99 - 432.29,435.50 - 439.50,5.51 - 9.51,431.00,210.21,161594,3,0.892,3
@_,GFTU.L,Grafton Group plc,Industrials,Industrial Distribution,1.50,868.70 - 877.30,887.70 - 889.90,19.00 - 21.20,875.70,158.00,274775,4,1.432,2
@_,GGP.L,Greatland Resources Limited,Basic Materials,Gold,1.67,232.50 - 242.00,245.00 - 258.00,12.50 - 25.50,255.00,753.00,1712503,6,1.115,3
*_,GHH.L,Gooch & Housego PLC,Technology,Electronic Components,0.80,562.00 - 581.45,576.00 - 588.00,14.00 - 26.00,489.23,388.40,48851,2,0.547,5
@_,GKP.L,Gulf Keystone Petroleum Limited,Energy,Oil & Gas E&P,2.33,164.00 - 166.80,169.09 - 170.20,5.09 - 6.20,171.00,402.41,395008,4,0.544,3
@_,GLB.L,Glanbia plc,Consumer Defensive,Packaged Foods,0.33,12.20 - 13.97,12.38 - 14.35,0.18 - 2.15,14.28,1365.64,59442,3,0.648,6
*_,GLE.L,MJ Gleeson plc,Consumer Cyclical,Residential Construction,1.00,350.00 - 355.62,356.77 - 361.00,6.77 - 11.00,351.84,426.58,94646,3,0.742,4
@_,GLEN.L,Glencore plc,Basic Materials,Other Industrial Metals & Mining,2.00,277.75 - 294.45,293.00 - 304.00,15.25 - 26.25,299.70,483.40,42619247,8,0.888,3
@_,GLR.L,Galileo Resources Plc,Basic Materials,Other Industrial Metals & Mining,0.00,0.70 - 0.80,0.79 - 0.84,0.09 - 0.14,0.75,1827.72,1778472,6,0.661,5
@_,GLV.L,Glenveagh Properties PLC,Consumer Cyclical,Residential Construction,6.00,1.84 - 1.84,2.00 - 2.00,0.16 - 0.16,1.95,434.72,27136,2,0.74,1
*_,GMET.L,Guardian Metal Resources PLC,Basic Materials,Other Precious Metals & Mining,0.67,54.10 - 56.30,56.00 - 58.00,1.90 - 3.90,54.00,778.27,351094,4,0.096,6
@_,GMR.L,Gaming Realms plc,Communication Services,Electronic Gaming & Multimedia,0.33,47.60 - 51.00,48.95 - 51.60,1.35 - 4.00,51.00,566.80,804718,5,0.837,3
*_,GMS.L,Gulf Marine Services PLC,Energy,Oil & Gas Equipment & Services,0.00,19.42 - 19.66,19.90 - 20.00,0.48 - 0.58,19.00,210.02,776354,5,0.908,2
*_,GNC.L,Greencore Group plc,Consumer Defensive,Packaged Foods,0.00,249.50 - 252.00,254.38 - 259.17,4.88 - 9.67,249.50,233.83,662873,5,1.109,2
@_,GNIP.L,GenIP plc,Industrials,Specialty Business Services,0.25,22.20 - 25.02,24.52 - 26.00,2.32 - 3.80,24.00,1692.54,31245,2,UNKNOWN,4
@_,GNS.L,Genus plc,Healthcare,Biotechnology,1.33,2475.00 - 2487.50,2510.00 - 2550.00,35.00 - 75.00,2590.00,268.70,144949,3,0.564,3
@_,GOT.L,Global Opportunities Trust Ord,Financial Services,Asset Management,0.67,318.00 - 323.99,323.14 - 328.00,5.14 - 10.00,324.00,212.25,67568,3,UNKNOWN,3
*_,GPE.L,Great Portland Estates Plc,Real Estate,REIT Office,1.00,326.50 - 336.00,330.00 - 345.50,3.50 - 19.00,322.50,185.50,591594,5,0.82,2
*_,GRG.L,Greggs plc,Consumer Cyclical,Restaurants,4.00,1574.99 - 1589.00,1613.00 - 1636.00,38.01 - 61.01,1588.00,255.03,624842,5,1.478,2
*_,GRI.L,Grainger plc,Real Estate,Real Estate Services,3.00,206.00 - 206.00,211.00 - 211.00,5.00 - 5.00,201.00,120.00,1854762,6,0.699,1
*_,GRL.L,Goldstone Resources Limited,Basic Materials,Gold,0.40,0.55 - 0.60,0.63 - 0.63,0.08 - 0.08,0.32,1906.32,10645316,8,0.435,5
*_,GROC.L,GreenRoc Strategic Materials Plc,Basic Materials,Other Industrial Metals & Mining,0.29,2.10 - 2.15,2.19 - 2.30,0.09 - 0.20,2.10,1921.72,627006,5,0.089,7
*_,GROW.L,Molten Ventures Ord,Financial Services,Asset Management,1.50,361.12 - 369.60,370.40 - 374.80,9.28 - 13.68,364.40,365.04,673037,5,UNKNOWN,4
*_,GRP.L,Greencoat Renewables,Utilities,Utilities Renewable,0.00,0.76 - 0.76,0.78 - 0.78,0.02 - 0.02,0.74,130.74,220461,4,UNKNOWN,1
@_,GRX.L,GreenX Metals Limited,Basic Materials,Copper,1.00,36.20 - 38.12,38.40 - 38.90,2.20 - 2.70,38.00,405.78,13111,2,0.71,2
@_,GSCT.L,The Global Smaller Companies Trust Ord,Financial Services,Asset Management,9.00,164.86 - 164.86,167.20 - 167.20,2.34 - 2.34,166.27,70.20,413381,4,UNKNOWN,1
@_,GSCU.L,Great Southern Copper PLC,Basic Materials,Copper,0.00,2.35 - 2.49,2.54 - 2.60,0.19 - 0.25,2.59,1938.17,547451,5,-0.679,6
@_,GSF.L,Gore Street Energy Storage Fund Ord,Financial Services,Asset Management,1.00,60.29 - 61.51,61.55 - 62.40,1.26 - 2.11,61.50,374.05,829144,5,UNKNOWN,4
@_,GSK.L,GSK plc,Healthcare,Drug Manufacturers General,2.50,1362.00 - 1397.50,1410.00 - 1434.50,48.00 - 72.50,1424.00,255.00,6570061,7,0.268,2
*_,GTC.L,Getech Group plc,Energy,Oil & Gas Equipment & Services,0.00,2.00 - 2.02,2.05 - 2.05,0.05 - 0.05,2.00,324.13,54273,3,0.429,3
*_,GTE.L,Gran Tierra Energy Inc.,Energy,Oil & Gas E&P,0.75,280.00 - 300.00,295.00 - 315.00,15.00 - 35.00,295.00,894.06,748,1,0.845,4
@_,GTLY.L,Gateley (Holdings) Plc,Industrials,Consulting Services,0.67,122.50 - 123.50,125.20 - 127.00,2.70 - 4.50,125.00,966.00,62807,3,0.624,9
@_,GWMO.L,Great Western Mining Corporation PLC,Basic Materials,Other Industrial Metals & Mining,0.00,0.90 - 0.92,0.95 - 1.02,0.05 - 0.12,0.98,2583.16,725826,5,-0.01,8
@_,GYM.L,The Gym Group plc,Consumer Cyclical,Leisure,0.50,136.15 - 145.00,145.20 - 147.00,9.05 - 10.85,145.02,393.80,326794,4,1.457,2
@_,HAMA.L,Hamak Gold Limited,Basic Materials,Gold,0.67,4.00 - 5.23,4.62 - 5.40,0.62 - 1.40,4.89,1216.70,14722265,8,-0.624,3
*_,HAS.L,Hays plc,Industrials,Staffing & Employment Services,1.00,62.40 - 63.30,63.25 - 64.70,0.85 - 2.30,62.92,249.09,2410292,6,1.088,3
@_,HAYD.L,Haydale Graphene Industries plc,Basic Materials,Specialty Chemicals,0.18,0.54 - 0.57,0.58 - 0.60,0.04 - 0.06,0.65,2860.76,5521851,7,2.472,11
@_,HBR.L,Harbour Energy plc,Energy,Oil & Gas E&P,1.67,201.00 - 231.00,234.00 - 238.20,33.00 - 37.20,228.40,1253.44,7056928,7,-0.283,3
*_,HCM.L,HUTCHMED (China) Limited,Healthcare,Drug Manufacturers Specialty & Generic,0.80,227.50 - 262.00,234.21 - 268.00,6.71 - 40.50,237.30,785.79,94724,3,0.589,5
@_,HDD.L,Hardide plc,Basic Materials,Specialty Chemicals,1.00,7.50 - 7.50,7.77 - 7.77,0.27 - 0.27,7.50,359.64,10889,2,0.395,2
*_,HE1.L,Helium One Global Limited,Energy,Oil & Gas E&P,0.00,0.61 - 0.64,0.64 - 0.67,0.03 - 0.05,0.62,1754.40,67424212,9,0.192,10
@_,HEAD.L,Headlam Group plc,Consumer Cyclical,Furnishings  Fixtures & Appliances,0.00,79.00 - 79.20,80.00 - 80.00,1.00 - 1.00,79.00,176.40,71312,3,1.259,3
@_,HEMO.L,Hemogenyx Pharmaceuticals Plc,Healthcare,Biotechnology,1.00,143.70 - 150.92,149.50 - 156.22,5.80 - 12.52,153.25,1068.08,43835,2,0.617,6
*_,HERC.L,Hercules Plc,Industrials,Staffing & Employment Services,0.40,40.01 - 40.15,40.80 - 40.98,0.79 - 0.97,39.50,493.52,49513,2,0.58,5
@_,HET.L,Henderson European Trust Ord,Financial Services,Asset Management,4.00,202.00 - 204.50,205.50 - 207.07,3.50 - 5.07,206.50,145.68,883429,5,UNKNOWN,2
@_,HEX.L,Helix Exploration PLC,Basic Materials,Other Industrial Metals & Mining,0.33,25.77 - 27.18,26.24 - 29.38,0.47 - 3.61,27.73,784.84,1756470,6,UNKNOWN,3
*_,HFD.L,Halfords Group plc,Consumer Cyclical,Specialty Retail,0.33,136.58 - 142.81,138.80 - 144.70,2.22 - 8.12,135.40,237.15,528692,5,0.976,3
*_,HFEL.L,Henderson Far East Income Ord,Financial Services,Asset Management,2.00,227.75 - 229.54,230.16 - 233.00,2.41 - 5.25,229.25,187.53,556113,5,UNKNOWN,3
*_,HFG.L,Hilton Food Group plc,Consumer Defensive,Packaged Foods,1.50,840.00 - 848.00,852.00 - 859.00,12.00 - 19.00,841.00,115.00,133620,3,0.666,2
*_,HGT.L,HgCapital Trust Ord,Financial Services,Asset Management,2.00,514.67 - 515.00,521.00 - 524.00,6.33 - 9.33,502.00,137.97,394933,4,UNKNOWN,2
@_,HHI.L,Henderson High Income Ord,Financial Services,Asset Management,3.00,179.45 - 181.44,182.50 - 183.50,3.05 - 4.05,183.37,137.97,245941,4,UNKNOWN,2
*_,HICL.L,HICL Infrastructure PLC Ord,Financial Services,Asset Management,0.00,120.38 - 120.38,122.00 - 122.00,1.62 - 1.62,119.40,66.42,2639772,6,UNKNOWN,1
@_,HIK.L,Hikma Pharmaceuticals PLC,Healthcare,Drug Manufacturers Specialty & Generic,2.50,1738.83 - 1766.00,1789.00 - 1816.00,50.17 - 77.17,1791.00,200.34,732827,5,0.655,2
@_,HILS.L,Hill & Smith PLC,Industrials,Engineering & Construction,0.50,1954.00 - 1988.00,2035.00 - 2240.00,81.00 - 286.00,2160.00,666.00,249504,4,1.114,2
*_,HLCL.L,Helical plc,Real Estate,Real Estate Services,0.67,224.00 - 225.00,227.00 - 230.00,3.00 - 6.00,220.00,264.00,131302,3,0.714,3
*_,HLMA.L,Halma plc,Industrials,Conglomerates,0.50,3222.00 - 3250.00,3302.00 - 3322.00,80.00 - 100.00,3214.00,152.00,514940,5,0.626,2
@_,HLN.L,Haleon plc,Healthcare,Drug Manufacturers Specialty & Generic,1.50,346.50 - 352.30,355.90 - 360.40,9.40 - 13.90,356.10,245.00,18805518,8,0.24,2
@_,HMI.L,Harvest Minerals Limited,Basic Materials,Agricultural Inputs,0.20,0.25 - 0.29,0.30 - 0.30,0.04 - 0.05,0.30,2241.69,733463,5,0.263,5
@_,HMSO.L,Hammerson Plc,Real Estate,REIT Retail,0.00,293.20 - 293.20,296.60 - 296.60,3.40 - 3.40,293.80,57.80,771329,5,2.091,1
*_,HOC.L,Hochschild Mining plc,Basic Materials,Gold,0.67,299.00 - 308.58,306.00 - 316.20,7.00 - 17.20,295.40,335.04,1650048,6,0.328,3
@_,HREE.L,Harena Resources plc,Basic Materials,Other Industrial Metals & Mining,0.00,1.34 - 1.40,1.56 - 1.84,0.22 - 0.50,1.90,2392.06,568344,5,UNKNOWN,2
*_,HRI.L,Herald Investment Trust PLC,UNKNOWN,UNKNOWN,0.00,2405.00 - 2430.00,2435.00 - 2455.00,30.00 - 50.00,2375.00,110.00,35205,2,UNKNOWN,2
*_,HSBA.L,HSBC Holdings plc,Financial Services,Banks Diversified,1.25,931.80 - 945.80,942.00 - 957.40,10.20 - 25.60,941.00,215.00,20889861,8,0.501,4
@_,HSD.L,Hansard Global plc,Financial Services,Insurance Life,0.80,48.96 - 51.25,50.65 - 52.15,1.69 - 3.19,51.25,697.44,22956,2,0.358,5
@_,HSP.L,Hargreaves Services Plc,Industrials,Conglomerates,1.20,760.74 - 766.30,770.00 - 778.00,9.26 - 17.26,772.00,343.20,76939,3,0.736,5
*_,HSS.L,HSS Hire Group plc,Industrials,Rental & Leasing Services,0.25,9.24 - 9.56,9.63 - 9.88,0.39 - 0.64,9.45,1397.89,761350,5,0.07,8
*_,HSW.L,Hostelworld Group plc,Consumer Cyclical,Travel Services,0.25,111.00 - 114.50,114.50 - 118.00,3.50 - 7.00,113.00,482.50,211501,4,1.446,4
*_,HSX.L,Hiscox Ltd,Financial Services,Insurance Property & Casualty,0.00,1344.70 - 1346.00,1371.00 - 1397.00,26.30 - 52.30,1314.00,231.90,2415073,6,0.589,2
*_,HTG.L,Hunting PLC,Energy,Oil & Gas Equipment & Services,1.00,297.56 - 309.00,306.00 - 313.00,8.44 - 15.44,303.00,267.04,329049,4,0.89,3
@_,HTWS.L,Helios Towers plc,Communication Services,Telecom Services,1.50,117.60 - 122.40,120.40 - 124.80,2.80 - 7.20,122.60,364.07,2086371,6,0.645,4
@_,HUD.L,Huddled Group Plc,Communication Services,Entertainment,0.00,3.10 - 3.22,3.29 - 3.40,0.19 - 0.30,3.25,1501.27,495471,4,1.616,5
@_,HUI.L,Hydrogen Utopia International PLC,Industrials,Waste Management,0.83,1.30 - 1.35,1.36 - 1.40,0.06 - 0.10,1.35,1796.95,331020,4,1.168,6
@_,HUW.L,Helios Underwriting plc,Financial Services,Insurance Reinsurance,0.50,204.25 - 209.00,209.82 - 213.20,5.57 - 8.95,209.00,458.48,20958,2,-0.108,4
*_,HVO.L,hVIVO plc,Healthcare,Biotechnology,0.43,9.94 - 10.76,10.50 - 11.09,0.56 - 1.15,10.25,1260.59,2085512,6,1.074,7
@_,HVPE.L,HarbourVest Global Priv Equity Ord,Financial Services,Asset Management,3.00,2665.00 - 2715.00,2725.75 - 2765.00,60.75 - 100.00,2755.00,110.75,83633,3,UNKNOWN,2
@_,HWDN.L,Howden Joinery Group Plc,Consumer Cyclical,Furnishings  Fixtures & Appliances,3.00,852.95 - 861.00,867.00 - 871.50,14.05 - 18.55,863.50,122.75,1207246,6,1.081,2
*_,HWG.L,Harworth Group plc,Real Estate,Real Estate Development,2.00,178.50 - 187.50,182.14 - 189.50,3.64 - 11.00,182.00,153.92,318162,4,0.602,2
@_,IAD.L,Invesco Asia Dragon Trust Ord,Financial Services,Asset Management,2.00,369.00 - 373.00,374.00 - 379.72,5.00 - 10.72,380.00,239.59,221141,4,UNKNOWN,3
@_,IAG.L,International Consolidated Airlines Group S.A.,Industrials,Airlines,2.50,369.90 - 371.20,374.31 - 389.18,4.41 - 19.28,386.10,291.07,16241254,8,2.05,2
@_,IBAI.L,Imaging Biometrics Ltd.,Healthcare,Health Information Services,0.25,0.52 - 0.60,0.62 - 0.65,0.10 - 0.13,0.60,2210.75,377040,4,2.625,4
*_,IBST.L,Ibstock plc,Basic Materials,Building Materials,1.00,146.00 - 147.40,148.47 - 149.60,2.47 - 3.60,143.40,156.58,1778199,6,0.88,2
@_,IBT.L,International Biotechnology Trust plc,UNKNOWN,UNKNOWN,0.00,644.30 - 661.43,662.74 - 670.00,18.44 - 25.70,664.00,189.07,134755,3,UNKNOWN,2
@_,ICFG.L,ICFG Limited,Financial Services,Credit Services,0.33,21.00 - 36.00,37.50 - 45.38,16.50 - 24.38,43.00,7670.44,45445,2,UNKNOWN,3
@_,ICG.L,ICG plc,Financial Services,Asset Management,2.33,2150.00 - 2172.00,2178.00 - 2202.00,28.00 - 52.00,2176.00,184.00,522137,5,1.767,3
@_,ICGC.L,Irish Continental Group plc,Industrials,Marine Shipping,0.00,466.00 - 466.00,478.00 - 478.00,12.00 - 12.00,478.00,120.00,407,1,0.741,1
@_,ICGT.L,ICG Enterprise Trust Ord,Financial Services,Asset Management,1.75,1450.00 - 1460.91,1472.78 - 1494.00,22.78 - 44.00,1464.00,305.46,31577,2,UNKNOWN,4
@_,ICON.L,Iconic Labs Plc,Communication Services,Advertising Agencies,3.50,1.76 - 3.07,3.80 - 3.95,2.03 - 2.19,2.75,7391.25,463161,4,0.272,2
@_,IDHC.L,Integrated Diagnostics Holdings plc,Healthcare,Diagnostics & Research,5.00,0.36 - 0.36,0.42 - 0.42,0.06 - 0.06,0.41,828.72,458066,4,0.215,1
*_,IDOX.L,IDOX plc,Technology,Software Application,0.00,60.26 - 62.23,61.11 - 63.90,0.85 - 3.64,59.93,399.28,866667,5,0.241,3
@_,IEM.L,Impax Environmental Markets Ord,Financial Services,Asset Management,2.00,390.94 - 390.94,397.50 - 397.50,6.56 - 6.56,394.00,78.72,560652,5,UNKNOWN,1
*_,IES.L,Invinity Energy Systems plc,Industrials,Electrical Equipment & Parts,0.00,21.00 - 21.94,21.32 - 22.50,0.32 - 1.50,20.50,600.13,171368,3,1.557,6
*_,IGC.L,India Capital Growth Ord,Financial Services,Asset Management,2.00,172.70 - 174.50,176.50 - 177.50,3.80 - 4.80,172.75,274.12,293209,4,UNKNOWN,3
@_,IGE.L,Image Scan Holdings Plc,Industrials,Security & Protection Services,3.00,1.40 - 1.44,1.46 - 1.50,0.06 - 0.10,1.45,426.04,108282,3,0.049,2
@_,IGET.L,Invesco Global Equity Income Trust ord,Financial Services,Asset Management,2.00,357.44 - 357.44,363.00 - 363.00,5.56 - 5.56,358.38,72.28,244101,4,UNKNOWN,1
@_,IGG.L,IG Group Holdings plc,Financial Services,Capital Markets,3.50,1130.00 - 1130.50,1144.00 - 1149.00,14.00 - 19.00,1139.00,130.00,1447345,6,0.662,2
@_,IGP.L,Intercede Group plc,Technology,Software Application,0.75,158.50 - 165.00,161.75 - 170.00,3.25 - 11.50,170.00,633.70,61376,3,1.382,4
*_,IGR.L,IG Design Group plc,Consumer Cyclical,Specialty Retail,0.00,60.00 - 61.50,60.76 - 62.30,0.76 - 2.30,60.00,640.68,143936,3,0.755,9
@_,IHC.L,Inspiration Healthcare Group plc,Healthcare,Medical Devices,1.50,19.60 - 21.00,21.97 - 21.97,2.37 - 2.37,21.00,1592.99,19174,2,0.492,4
*_,IHP.L,IntegraFin Holdings plc,Financial Services,Asset Management,1.00,350.00 - 353.50,354.00 - 357.50,4.00 - 7.50,346.50,112.00,280319,4,1.243,2
*_,III.L,3i Group Ord,Financial Services,Asset Management,4.00,4015.00 - 4015.00,4132.00 - 4132.00,117.00 - 117.00,3974.00,117.00,1333381,6,UNKNOWN,1
@_,IKA.L,Ilika plc,Industrials,Electrical Equipment & Parts,0.57,37.33 - 40.03,38.35 - 41.70,1.02 - 4.37,40.25,1050.65,135889,3,2.276,7
@_,IMB.L,Imperial Brands PLC,Consumer Defensive,Tobacco,6.00,2991.01 - 2991.01,3065.00 - 3065.00,73.99 - 73.99,3046.00,73.99,1542885,6,0.277,1
*_,IMI.L,IMI plc,Industrials,Specialty Industrial Machinery,1.33,2190.00 - 2266.20,2224.00 - 2306.00,34.00 - 116.00,2243.00,271.60,822783,5,0.905,3
@_,IMM.L,ImmuPharma plc,Healthcare,Biotechnology,0.18,1.40 - 1.57,1.59 - 1.71,0.19 - 0.31,1.62,3942.16,2676503,6,2.599,11
@_,INCH.L,Inchcape plc,Consumer Cyclical,Auto & Truck Dealerships,3.00,653.00 - 658.00,664.00 - 673.00,11.00 - 20.00,661.50,182.00,637425,5,1.001,2
*_,INDI.L,Indus Gas Limited,Energy,Oil & Gas E&P,0.38,11.15 - 14.08,12.18 - 15.00,1.03 - 3.85,12.95,4490.04,195249,3,0.422,8
@_,INF.L,Informa plc,Communication Services,Publishing,2.00,861.60 - 861.60,884.80 - 884.80,23.20 - 23.20,879.20,116.00,3543577,6,0.919,1
@_,ING.L,Ingenta plc,Technology,Software Application,0.75,57.00 - 60.35,59.75 - 61.40,2.75 - 4.40,61.00,709.29,10389,2,0.047,4
@_,INOV.L,Schroders Capital Global Innov Trust Ord,Financial Services,Asset Management,0.67,13.14 - 13.15,13.34 - 13.70,0.20 - 0.56,13.40,399.00,2167720,6,UNKNOWN,3
*_,INPP.L,International Public Partnerships Ord,Financial Services,Asset Management,2.50,122.80 - 123.89,124.76 - 126.40,1.96 - 3.60,121.00,178.80,3493394,6,UNKNOWN,2
@_,INSG.L,Insig AI Plc,Technology,Software Infrastructure,0.67,22.00 - 25.61,24.24 - 26.80,2.24 - 4.80,25.70,2388.87,391981,4,-0.553,6
*_,INVP.L,Investec Group,Financial Services,Capital Markets,1.67,532.00 - 548.00,544.50 - 557.00,12.50 - 25.00,533.00,288.00,902119,5,0.593,3
@_,INVR.L,Investec Plc,Financial Services,Capital Markets,3.00,615.00 - 617.10,630.00 - 630.00,15.00 - 15.00,630.00,223.20,3038,1,UNKNOWN,2
@_,IOF.L,Iofina plc,Basic Materials,Specialty Chemicals,0.71,24.00 - 25.00,24.85 - 26.00,0.85 - 2.00,27.00,1344.48,101590,3,0.518,7
*_,IOM.L,iomart Group plc,Technology,Software Infrastructure,0.38,23.00 - 23.60,23.73 - 24.50,0.73 - 1.50,22.10,1439.62,421864,4,0.443,8
*_,IPC.L,International Paper Company,Consumer Cyclical,Packaging & Containers,1.67,3456.75 - 3513.94,3535.00 - 3582.49,78.25 - 125.74,3430.00,223.00,26028,2,0.994,3
@_,IPF.L,International Personal Finance plc,Financial Services,Credit Services,1.00,208.00 - 208.00,212.01 - 212.01,4.01 - 4.01,209.21,96.24,784766,5,1.071,1
*_,IPO.L,IP Group Plc,Financial Services,Asset Management,1.00,56.10 - 58.30,57.50 - 60.60,1.40 - 4.50,58.10,473.76,3772277,6,1.241,4
*_,IPX.L,Impax Asset Management Group Plc,Financial Services,Asset Management,1.00,182.00 - 184.60,189.15 - 192.20,7.15 - 10.20,184.00,398.25,396061,4,1.462,2
*_,IQE.L,IQE plc,Technology,Semiconductor Equipment & Materials,0.43,9.50 - 9.61,9.62 - 9.72,0.12 - 0.22,8.78,482.28,1844336,6,1.706,7
@_,ITH.L,Ithaca Energy plc,Energy,Oil & Gas E&P,1.50,170.00 - 174.60,173.00 - 178.60,3.00 - 8.60,179.00,393.80,613266,5,0.436,4
@_,ITIM.L,Itim Group Plc,Technology,Software Application,0.00,50.50 - 50.50,54.00 - 54.00,3.50 - 3.50,50.50,346.50,1930,1,0.733,1
@_,ITM.L,ITM Power Plc,Industrials,Specialty Industrial Machinery,1.00,61.97 - 64.00,65.00 - 75.90,3.03 - 13.93,68.41,1192.40,5088466,7,UNKNOWN,2
@_,ITRK.L,Intertek Group plc,Industrials,Specialty Business Services,6.00,4642.00 - 4642.00,4720.00 - 4720.00,78.00 - 78.00,4652.00,78.00,342059,4,0.595,1
@_,ITV.L,ITV plc,Communication Services,Broadcasting,1.67,80.65 - 81.43,81.95 - 82.79,1.30 - 2.14,81.50,232.41,6244840,7,1.086,3
*_,ITX.L,Itaconix plc,Basic Materials,Specialty Chemicals,0.00,125.50 - 128.00,127.50 - 135.00,2.00 - 9.50,127.50,647.40,2851,1,1.038,4
@_,IWG.L,International Workplace Group plc,Real Estate,Real Estate Services,1.50,223.20 - 225.40,229.00 - 233.40,5.80 - 10.20,229.60,303.60,1546771,6,1.757,2
@_,IXI.L,IXICO plc,Healthcare,Biotechnology,0.50,11.56 - 12.06,12.00 - 12.49,0.44 - 0.93,12.25,753.23,39990,2,0.614,4
@_,JAGI.L,JPMorgan Asia Growth & Income Ord,Financial Services,Asset Management,1.67,393.00 - 394.50,397.47 - 400.04,4.47 - 7.04,397.67,178.68,141242,3,UNKNOWN,3
@_,JAM.L,JPMorgan American Ord,Financial Services,Asset Management,2.50,1046.00 - 1056.00,1060.00 - 1072.00,14.00 - 26.00,1064.00,120.00,365160,4,UNKNOWN,2
@_,JAN.L,Jangada Mines Plc,Basic Materials,Other Industrial Metals & Mining,1.00,0.46 - 0.48,0.50 - 0.55,0.04 - 0.09,0.51,2435.49,3609835,6,1.018,5
*_,JARA.L,JPMorgan Global Core Real Assets Limited,UNKNOWN,UNKNOWN,1.00,71.54 - 78.00,74.21 - 80.00,2.67 - 8.46,71.35,736.21,115383,3,UNKNOWN,5
@_,JCGI.L,JPMorgan China Growth & Income Ord,Financial Services,Asset Management,1.00,252.48 - 255.75,257.86 - 263.70,5.39 - 11.23,256.50,338.39,89116,3,UNKNOWN,3
@_,JCH.L,JPMorgan Claverhouse Ord,Financial Services,Asset Management,3.00,790.00 - 795.21,799.56 - 803.93,9.56 - 13.93,801.30,109.68,81299,3,UNKNOWN,2
@_,JD.L,JD Sports Fashion Plc,Consumer Cyclical,Apparel Retail,0.25,84.62 - 87.48,85.52 - 88.74,0.90 - 4.12,87.76,457.46,13065522,8,1.536,4
@_,JDW.L,J D Wetherspoon plc,Consumer Cyclical,Restaurants,1.50,716.14 - 728.00,743.50 - 744.25,27.36 - 28.11,732.00,261.66,341695,4,1.288,2
@_,JEDT.L,JPMorgan European Discovery Ord,Financial Services,Asset Management,0.00,581.00 - 581.00,588.00 - 588.00,7.00 - 7.00,581.00,56.00,173143,3,UNKNOWN,1
@_,JEGI.L,JPMorgan European Growth & Income Ord,Financial Services,Asset Management,3.00,123.00 - 124.50,125.50 - 126.18,2.50 - 3.18,125.95,167.20,1367044,6,UNKNOWN,2
@_,JEL.L,Jersey Electricity plc,Utilities,Utilities Regulated Electric,0.00,460.00 - 461.00,475.00 - 482.00,15.00 - 22.00,461.00,360.00,1784,1,0.152,2
*_,JEMI.L,JPMorgan Global Emerg Mkts Inc Ord,Financial Services,Asset Management,1.33,150.37 - 151.12,152.54 - 153.55,2.17 - 3.18,150.82,250.80,300695,4,UNKNOWN,3
@_,JET2.L,Jet2 plc,Consumer Cyclical,Travel Services,2.00,1608.20 - 1611.00,1638.00 - 1640.77,29.80 - 32.57,1633.00,178.71,716602,5,1.774,2
@_,JFJ.L,JPMorgan Japanese Ord,Financial Services,Asset Management,1.50,646.86 - 672.99,662.23 - 687.28,15.37 - 40.42,686.00,361.48,355649,4,UNKNOWN,4
@_,JGGI.L,JPMorgan Global Growth & Income Ord,Financial Services,Asset Management,2.33,565.00 - 573.30,571.27 - 580.00,6.27 - 15.00,574.00,168.48,898410,5,UNKNOWN,3
*_,JHD.L,James Halstead plc,Industrials,Building Products & Equipment,1.00,146.35 - 148.38,148.00 - 150.00,1.65 - 3.65,142.32,234.30,205850,4,0.24,4
*_,JIM.L,Jarvis Securities plc,Financial Services,Capital Markets,0.00,22.55 - 25.22,24.00 - 26.89,1.45 - 4.34,19.50,651.11,168206,3,-0.278,2
*_,JLP.L,Jubilee Metals Group PLC,Basic Materials,Other Industrial Metals & Mining,0.25,2.80 - 2.99,2.88 - 3.10,0.08 - 0.30,2.86,1122.14,8747969,7,1.322,8
