I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Num of Trades
*_,GEMD.L,Gem Diamonds Limited,Basic Materials,Other Precious Metals & Mining,0.23,6.46 - 6.92,6.98 - 7.44,0.52 - 0.98,6.91,5516.03,123873,3,1.195,13
@_,GEN.L,Genuit Group plc,Industrials,Building Products & Equipment,2.00,358.50 - 359.50,363.00 - 366.16,4.50 - 7.66,367.00,145.08,1021742,6,1.405,2
@_,GENF.L,Genflow Biosciences plc,Healthcare,Biotechnology,0.00,0.56 - 0.62,0.62 - 0.70,0.06 - 0.14,0.65,8816.63,2805061,6,2.17,22
@_,GENI.L,GENinCode Plc,Healthcare,Diagnostics & Research,0.00,1.20 - 1.32,1.40 - 1.50,0.20 - 0.30,1.40,3035.54,438391,4,0.76,5
*_,GENL.L,Genel Energy plc,Energy,Oil & Gas E&P,0.40,59.10 - 62.10,59.76 - 63.10,0.66 - 4.00,61.30,869.77,157840,3,0.519,10
@_,GEO.L,Geo Exploration Limited,Energy,Oil & Gas E&P,2.00,0.20 - 0.22,0.29 - 0.29,0.09 - 0.09,0.28,3855.36,91161550,9,-0.313,2
@_,GETB.L,GetBusy plc,Technology,Software Application,0.22,53.50 - 59.00,56.00 - 60.00,2.50 - 6.50,58.50,1528.95,32075,2,0.114,9
*_,GEX.L,Georgina Energy PLC,Basic Materials,Other Industrial Metals & Mining,0.03,4.25 - 5.77,4.44 - 5.93,0.19 - 1.68,5.35,9582.15,1144777,6,UNKNOWN,39
*_,GFM.L,Griffin Mining Limited,Basic Materials,Other Industrial Metals & Mining,0.22,180.50 - 189.89,183.58 - 192.00,3.08 - 11.50,184.00,1258.60,22894,2,0.657,9
*_,GFRD.L,Galliford Try Holdings plc,Industrials,Engineering & Construction,0.50,425.97 - 436.86,431.95 - 444.00,5.98 - 18.03,432.50,860.20,145728,3,0.892,8
@_,GFTU.L,Grafton Group plc,Industrials,Industrial Distribution,1.75,874.90 - 892.70,889.97 - 904.50,15.07 - 29.60,903.60,248.65,232994,4,1.432,4
*_,GGP.L,Greatland Resources Limited,Basic Materials,Gold,0.06,236.10 - 267.50,242.90 - 275.00,6.80 - 38.90,263.00,4931.26,1486712,6,1.115,47
*_,GHH.L,Gooch & Housego PLC,Technology,Electronic Components,0.00,514.00 - 562.08,519.56 - 574.00,5.56 - 60.00,495.00,956.12,41375,2,0.547,8
@_,GKP.L,Gulf Keystone Petroleum Limited,Energy,Oil & Gas E&P,0.33,165.80 - 180.60,169.00 - 185.00,3.20 - 19.20,184.20,738.54,397779,4,0.544,6
*_,GLB.L,Glanbia plc,Consumer Defensive,Packaged Foods,0.50,13.50 - 14.30,13.94 - 14.70,0.44 - 1.20,14.24,1825.90,76118,3,0.648,12
*_,GLE.L,MJ Gleeson plc,Consumer Cyclical,Residential Construction,0.71,350.54 - 357.00,359.00 - 364.00,8.46 - 13.46,350.00,760.34,59144,3,0.742,7
@_,GLEN.L,Glencore plc,Basic Materials,Other Industrial Metals & Mining,0.00,290.04 - 290.25,294.40 - 294.90,4.36 - 4.86,293.60,228.31,38151780,8,0.888,3
@_,GLR.L,Galileo Resources Plc,Basic Materials,Other Industrial Metals & Mining,0.00,0.65 - 0.73,0.74 - 0.80,0.09 - 0.15,0.75,5678.58,1903586,6,0.661,12
@_,GLV.L,Glenveagh Properties PLC,Consumer Cyclical,Residential Construction,0.25,1.89 - 1.90,1.92 - 1.97,0.03 - 0.08,1.90,474.28,22748,2,0.74,4
@_,GMET.L,Guardian Metal Resources PLC,Basic Materials,Other Precious Metals & Mining,0.18,54.06 - 70.00,55.25 - 72.00,1.19 - 17.94,74.00,4280.67,537829,5,0.096,28
*_,GMR.L,Gaming Realms plc,Communication Services,Electronic Gaming & Multimedia,0.14,47.00 - 50.72,48.30 - 51.60,1.30 - 4.60,50.00,1437.50,667120,5,0.837,14
*_,GMS.L,Gulf Marine Services PLC,Energy,Oil & Gas Equipment & Services,0.00,19.34 - 19.45,19.59 - 20.65,0.25 - 1.31,19.12,460.28,628871,5,0.908,3
@_,GNC.L,Greencore Group plc,Consumer Defensive,Packaged Foods,0.75,244.50 - 248.50,249.50 - 252.00,5.00 - 7.50,257.50,350.00,730883,5,1.109,4
*_,GNIP.L,GenIP plc,Industrials,Specialty Business Services,0.15,22.20 - 25.00,25.47 - 26.75,3.27 - 4.55,23.00,7465.61,26934,2,UNKNOWN,13
@_,GNS.L,Genus plc,Healthcare,Biotechnology,7.00,2499.58 - 2499.58,2728.20 - 2728.20,228.62 - 228.62,2690.00,457.24,95098,3,0.564,1
@_,GOT.L,Global Opportunities Trust Ord,Financial Services,Asset Management,1.20,320.08 - 322.00,324.98 - 331.94,4.90 - 11.86,325.00,394.20,32080,2,UNKNOWN,5
@_,GPE.L,Great Portland Estates Plc,Real Estate,REIT Office,1.50,314.50 - 317.50,318.50 - 321.00,4.00 - 6.50,321.00,112.50,573175,5,0.82,2
@_,GR1T.L,Grit Real Estate Income Group Limited,Real Estate,Real Estate Services,3.00,6.50 - 6.50,7.00 - 7.00,0.50 - 0.50,6.50,384.50,67551,3,0.152,1
@_,GRG.L,Greggs plc,Consumer Cyclical,Restaurants,1.00,1588.00 - 1594.00,1610.00 - 1612.00,22.00 - 24.00,1632.00,246.00,694963,5,1.478,4
*_,GRI.L,Grainger plc,Real Estate,Real Estate Services,0.00,202.00 - 203.00,205.00 - 205.50,3.00 - 3.50,200.80,132.00,1386203,6,0.699,2
@_,GRL.L,Goldstone Resources Limited,Basic Materials,Gold,0.67,0.32 - 0.40,0.41 - 0.45,0.09 - 0.13,0.43,5766.06,13571363,8,0.435,9
*_,GROC.L,GreenRoc Strategic Materials Plc,Basic Materials,Other Industrial Metals & Mining,0.50,1.90 - 2.07,2.05 - 2.20,0.15 - 0.30,2.00,3120.33,574137,5,0.089,8
@_,GROW.L,Molten Ventures Ord,Financial Services,Asset Management,1.20,363.40 - 370.41,367.54 - 376.00,4.14 - 12.60,372.40,296.79,567157,5,UNKNOWN,5
@_,GRP.L,Greencoat Renewables,Utilities,Utilities Renewable,0.67,0.73 - 0.73,0.75 - 0.75,0.02 - 0.02,0.74,410.56,293960,4,UNKNOWN,3
@_,GRX.L,GreenX Metals Limited,Basic Materials,Copper,0.00,35.40 - 35.40,37.02 - 37.02,1.62 - 1.62,37.00,228.42,7301,1,0.71,1
@_,GSC.L,GS Chain plc,Financial Services,Shell Companies,0.00,0.25 - 0.25,0.35 - 0.35,0.10 - 0.10,0.32,2000.00,122095,3,UNKNOWN,1
@_,GSCT.L,The Global Smaller Companies Trust Ord,Financial Services,Asset Management,3.50,166.65 - 166.80,168.37 - 169.56,1.72 - 2.91,170.00,131.64,756003,5,UNKNOWN,2
*_,GSCU.L,Great Southern Copper PLC,Basic Materials,Copper,0.00,2.30 - 2.42,2.41 - 2.66,0.12 - 0.36,2.20,5367.39,1068628,6,-0.679,16
*_,GSF.L,Gore Street Energy Storage Fund Ord,Financial Services,Asset Management,0.50,60.80 - 62.00,61.48 - 63.20,0.68 - 2.40,61.00,463.78,1002433,6,UNKNOWN,6
@_,GSK.L,GSK plc,Healthcare,Drug Manufacturers General,1.00,1409.00 - 1476.50,1434.50 - 1494.00,25.50 - 85.00,1480.75,352.50,6626329,7,0.268,5
*_,GTC.L,Getech Group plc,Energy,Oil & Gas Equipment & Services,1.00,2.00 - 2.00,2.04 - 2.07,0.04 - 0.07,1.90,399.85,101388,3,0.429,3
@_,GTE.L,Gran Tierra Energy Inc.,Energy,Oil & Gas E&P,0.00,275.00 - 281.70,290.00 - 299.50,15.00 - 24.50,290.00,1237.30,1235,1,0.845,5
@_,GTLY.L,Gateley (Holdings) Plc,Industrials,Consulting Services,0.00,122.00 - 123.50,124.00 - 128.00,2.00 - 6.00,125.00,1502.80,43233,2,0.624,15
@_,GWMO.L,Great Western Mining Corporation PLC,Basic Materials,Other Industrial Metals & Mining,0.11,0.90 - 0.96,0.96 - 1.02,0.06 - 0.12,1.00,2791.48,1388836,6,-0.01,9
@_,GYM.L,The Gym Group plc,Consumer Cyclical,Leisure,0.25,140.20 - 144.60,142.60 - 147.40,2.40 - 7.20,145.00,667.40,230845,4,1.457,8
*_,HAMA.L,Hamak Gold Limited,Basic Materials,Gold,0.18,3.80 - 4.92,4.00 - 5.00,0.20 - 1.20,4.00,4369.89,9519728,7,-0.624,22
@_,HAS.L,Hays plc,Industrials,Staffing & Employment Services,0.57,59.60 - 62.55,60.34 - 64.08,0.74 - 4.48,64.10,676.35,2941312,6,1.088,7
*_,HAYD.L,Haydale Graphene Industries plc,Basic Materials,Specialty Chemicals,0.00,0.60 - 0.62,0.63 - 0.66,0.03 - 0.06,0.57,4733.82,3847803,6,2.472,21
*_,HBR.L,Harbour Energy plc,Energy,Oil & Gas E&P,0.60,226.00 - 235.20,229.60 - 237.80,3.60 - 11.80,230.20,355.62,5201454,7,-0.283,5
*_,HCM.L,HUTCHMED (China) Limited,Healthcare,Drug Manufacturers Specialty & Generic,0.30,228.00 - 242.00,231.65 - 252.00,3.65 - 24.00,236.00,1458.48,25571,2,0.589,10
@_,HDD.L,Hardide plc,Basic Materials,Specialty Chemicals,2.33,7.50 - 7.50,7.77 - 7.90,0.27 - 0.40,7.50,626.04,9023,1,0.395,3
*_,HE1.L,Helium One Global Limited,Energy,Oil & Gas E&P,0.04,0.58 - 0.62,0.62 - 0.65,0.04 - 0.07,0.51,16121.92,101869843,10,0.192,47
@_,HEAD.L,Headlam Group plc,Consumer Cyclical,Furnishings  Fixtures & Appliances,0.00,74.60 - 75.45,76.80 - 77.80,2.20 - 3.20,76.00,303.50,95054,3,1.259,2
@_,HEMO.L,Hemogenyx Pharmaceuticals Plc,Healthcare,Biotechnology,0.12,140.81 - 167.00,153.60 - 173.58,12.79 - 32.77,172.00,4685.29,50486,3,0.617,25
@_,HERC.L,Hercules Plc,Industrials,Staffing & Employment Services,0.83,39.30 - 40.24,40.40 - 40.80,1.10 - 1.50,40.80,597.14,49799,2,0.58,6
@_,HET.L,Henderson European Trust Ord,Financial Services,Asset Management,1.75,205.50 - 209.00,208.00 - 211.23,2.50 - 5.73,210.57,229.61,333588,4,UNKNOWN,4
*_,HEX.L,Helix Exploration PLC,Basic Materials,Other Industrial Metals & Mining,0.57,27.01 - 28.25,28.40 - 29.00,1.39 - 1.99,25.75,1138.25,981280,5,UNKNOWN,7
@_,HFD.L,Halfords Group plc,Consumer Cyclical,Specialty Retail,1.00,135.60 - 141.35,137.19 - 142.80,1.59 - 7.20,142.20,459.69,900005,5,0.976,6
@_,HFEL.L,Henderson Far East Income Ord,Financial Services,Asset Management,0.80,229.00 - 230.50,232.00 - 233.50,3.00 - 4.50,232.00,315.00,574775,5,UNKNOWN,5
*_,HFG.L,Hilton Food Group plc,Consumer Defensive,Packaged Foods,4.00,844.00 - 844.00,858.00 - 858.00,14.00 - 14.00,838.00,70.00,138951,3,0.666,1
*_,HGT.L,HgCapital Trust Ord,Financial Services,Asset Management,1.50,503.25 - 503.54,510.00 - 510.00,6.75 - 6.75,503.02,118.89,411261,4,UNKNOWN,2
@_,HHI.L,Henderson High Income Ord,Financial Services,Asset Management,0.86,181.00 - 186.14,183.35 - 189.00,2.35 - 8.00,187.25,458.61,189039,3,UNKNOWN,7
@_,HICL.L,HICL Infrastructure PLC Ord,Financial Services,Asset Management,1.00,118.46 - 122.29,120.20 - 124.00,1.74 - 5.54,123.80,320.65,3056162,6,UNKNOWN,5
@_,HIK.L,Hikma Pharmaceuticals PLC,Healthcare,Drug Manufacturers Specialty & Generic,4.00,1796.00 - 1821.00,1826.00 - 1852.00,30.00 - 56.00,1836.00,122.00,556310,5,0.655,2
@_,HILS.L,Hill & Smith PLC,Industrials,Engineering & Construction,0.00,2010.00 - 2183.57,2146.14 - 2245.00,136.14 - 235.00,2190.00,524.22,275647,4,1.114,4
@_,HLCL.L,Helical plc,Real Estate,Real Estate Services,1.20,214.50 - 219.36,219.60 - 222.50,5.10 - 8.00,224.00,522.13,64099,3,0.714,5
@_,HLMA.L,Halma plc,Industrials,Conglomerates,5.00,3216.00 - 3216.00,3272.00 - 3272.00,56.00 - 56.00,3264.00,56.00,426894,4,0.626,1
@_,HLN.L,Haleon plc,Healthcare,Drug Manufacturers Specialty & Generic,1.50,355.90 - 363.60,359.70 - 367.70,3.80 - 11.80,366.10,217.19,15114964,8,0.24,4
@_,HMI.L,Harvest Minerals Limited,Basic Materials,Agricultural Inputs,0.50,0.26 - 0.26,0.30 - 0.30,0.04 - 0.04,0.28,1554.56,686354,5,0.263,2
*_,HMSO.L,Hammerson Plc,Real Estate,REIT Retail,0.00,293.00 - 293.00,300.00 - 300.00,7.00 - 7.00,292.20,119.00,531161,5,2.091,1
*_,HOC.L,Hochschild Mining plc,Basic Materials,Gold,0.43,286.00 - 303.33,289.00 - 306.60,3.00 - 20.60,302.40,477.75,1210987,6,0.328,7
*_,HREE.L,Harena Resources plc,Basic Materials,Other Industrial Metals & Mining,0.18,1.40 - 2.08,1.59 - 2.17,0.19 - 0.77,1.55,5051.82,1421472,6,UNKNOWN,11
*_,HRI.L,Herald Investment Trust PLC,UNKNOWN,UNKNOWN,0.60,2372.50 - 2385.00,2405.00 - 2410.00,32.50 - 37.50,2330.00,322.64,48824,2,UNKNOWN,5
@_,HSBA.L,HSBC Holdings plc,Financial Services,Banks Diversified,0.75,929.80 - 958.40,946.10 - 969.10,16.30 - 39.30,969.10,241.00,20575521,8,0.501,4
@_,HSD.L,Hansard Global plc,Financial Services,Insurance Life,0.44,48.58 - 51.25,52.00 - 52.50,3.42 - 3.92,51.75,1729.31,25565,2,0.358,9
*_,HSP.L,Hargreaves Services Plc,Industrials,Conglomerates,0.29,753.10 - 776.00,768.00 - 798.00,14.90 - 44.90,774.00,664.86,65906,3,0.736,7
*_,HSS.L,HSS Hire Group plc,Industrials,Rental & Leasing Services,0.05,8.82 - 9.35,9.38 - 9.88,0.56 - 1.06,8.75,4756.70,423502,4,0.07,21
*_,HSW.L,Hostelworld Group plc,Consumer Cyclical,Travel Services,0.43,111.50 - 120.00,116.00 - 131.60,4.50 - 20.10,119.00,1894.88,190712,3,1.446,7
@_,HSX.L,Hiscox Ltd,Financial Services,Insurance Property & Casualty,0.33,1306.00 - 1324.00,1326.00 - 1343.00,20.00 - 37.00,1341.00,168.00,2242579,6,0.589,3
@_,HTG.L,Hunting PLC,Energy,Oil & Gas Equipment & Services,0.60,298.29 - 314.80,304.50 - 322.55,6.21 - 24.26,323.00,523.45,281091,4,0.89,5
@_,HTWS.L,Helios Towers plc,Communication Services,Telecom Services,0.55,120.20 - 134.20,121.80 - 135.60,1.60 - 15.40,136.20,747.80,3015379,6,0.645,11
@_,HUD.L,Huddled Group Plc,Communication Services,Entertainment,0.00,3.10 - 3.15,3.23 - 3.40,0.13 - 0.30,3.15,1629.94,582520,5,1.616,6
@_,HUI.L,Hydrogen Utopia International PLC,Industrials,Waste Management,0.00,1.12 - 1.21,1.23 - 1.33,0.11 - 0.21,1.30,4319.10,366371,4,1.168,8
@_,HUW.L,Helios Underwriting plc,Financial Services,Insurance Reinsurance,0.17,204.00 - 212.50,209.00 - 216.00,5.00 - 12.00,215.00,740.34,17044,2,-0.108,6
*_,HVO.L,hVIVO plc,Healthcare,Biotechnology,0.06,10.00 - 10.80,10.22 - 11.00,0.22 - 1.00,9.91,1953.70,1003714,6,1.074,16
@_,HVPE.L,HarbourVest Global Priv Equity Ord,Financial Services,Asset Management,4.50,2715.00 - 2752.65,2775.00 - 2840.00,60.00 - 125.00,2835.00,147.35,106258,3,UNKNOWN,2
@_,HWDN.L,Howden Joinery Group Plc,Consumer Cyclical,Furnishings  Fixtures & Appliances,4.00,866.00 - 868.00,877.00 - 882.50,11.00 - 16.50,881.50,127.50,997590,5,1.081,2
*_,HWG.L,Harworth Group plc,Real Estate,Real Estate Development,1.00,178.00 - 180.50,180.50 - 183.00,2.50 - 5.00,176.50,137.50,122043,3,0.602,2
*_,IAD.L,Invesco Asia Dragon Trust Ord,Financial Services,Asset Management,0.75,374.00 - 377.00,379.95 - 382.00,5.95 - 8.00,374.00,252.33,268402,4,UNKNOWN,4
@_,IAG.L,International Consolidated Airlines Group S.A.,Industrials,Airlines,2.25,386.97 - 390.10,391.90 - 396.13,4.93 - 9.16,394.70,249.24,14235351,8,2.05,4
@_,IBAI.L,Imaging Biometrics Ltd.,Healthcare,Health Information Services,1.50,0.55 - 0.60,0.62 - 0.68,0.07 - 0.13,0.60,2073.00,308809,4,2.625,4
@_,IBST.L,Ibstock plc,Basic Materials,Building Materials,0.00,137.60 - 137.60,143.58 - 143.58,5.98 - 5.98,143.40,215.28,866309,5,0.88,1
@_,IBT.L,International Biotechnology Trust plc,UNKNOWN,UNKNOWN,0.67,645.00 - 672.00,653.60 - 679.24,8.60 - 34.24,676.24,537.53,63148,3,UNKNOWN,9
*_,ICFG.L,ICFG Limited,Financial Services,Credit Services,0.00,33.00 - 42.00,36.00 - 46.00,3.00 - 13.00,31.50,4240.86,74575,3,UNKNOWN,7
@_,ICG.L,ICG plc,Financial Services,Asset Management,0.75,2152.00 - 2176.00,2178.00 - 2212.00,26.00 - 60.00,2210.00,244.00,324170,4,1.767,4
@_,ICGC.L,Irish Continental Group plc,Industrials,Marine Shipping,5.00,466.00 - 466.00,488.00 - 488.00,22.00 - 22.00,478.00,220.00,941,1,0.741,1
@_,ICGT.L,ICG Enterprise Trust Ord,Financial Services,Asset Management,0.20,1452.00 - 1467.18,1472.40 - 1494.00,20.40 - 42.00,1470.00,798.69,31806,2,UNKNOWN,10
*_,ICON.L,Iconic Labs Plc,Communication Services,Advertising Agencies,0.18,2.12 - 3.77,2.60 - 4.30,0.47 - 2.18,3.00,9377.48,564510,5,0.272,11
@_,IDHC.L,Integrated Diagnostics Holdings plc,Healthcare,Diagnostics & Research,7.00,0.40 - 0.40,0.44 - 0.44,0.04 - 0.04,0.41,499.96,325139,4,0.215,1
*_,IDOX.L,IDOX plc,Technology,Software Application,0.57,57.60 - 61.28,58.40 - 62.80,0.80 - 5.20,58.80,869.97,825452,5,0.241,7
@_,IEM.L,Impax Environmental Markets Ord,Financial Services,Asset Management,1.33,393.00 - 397.18,397.39 - 402.00,4.39 - 9.00,401.50,163.92,522825,5,UNKNOWN,3
*_,IES.L,Invinity Energy Systems plc,Industrials,Electrical Equipment & Parts,0.13,19.77 - 20.77,20.74 - 21.50,0.97 - 1.73,20.07,3584.47,241100,4,1.557,23
@_,IGC.L,India Capital Growth Ord,Financial Services,Asset Management,0.13,173.00 - 176.00,176.00 - 178.51,3.00 - 5.51,179.00,1057.28,241330,4,UNKNOWN,15
@_,IGE.L,Image Scan Holdings Plc,Industrials,Security & Protection Services,0.00,1.06 - 1.21,1.37 - 1.40,0.31 - 0.34,1.40,3032.12,192724,3,0.049,3
@_,IGET.L,Invesco Global Equity Income Trust ord,Financial Services,Asset Management,2.67,360.00 - 360.66,364.00 - 365.00,4.00 - 5.00,366.00,167.83,223180,4,UNKNOWN,3
@_,IGG.L,IG Group Holdings plc,Financial Services,Capital Markets,4.50,1131.00 - 1139.00,1148.00 - 1153.00,17.00 - 22.00,1151.00,124.00,1127423,6,0.662,2
*_,IGP.L,Intercede Group plc,Technology,Software Application,0.40,167.95 - 172.00,171.70 - 177.90,3.75 - 9.95,170.00,573.04,87584,3,1.382,5
@_,IGR.L,IG Design Group plc,Consumer Cyclical,Specialty Retail,0.50,59.26 - 60.27,60.76 - 62.00,1.49 - 2.74,60.50,1154.91,87764,3,0.755,10
@_,IHC.L,Inspiration Healthcare Group plc,Healthcare,Medical Devices,0.56,20.11 - 23.66,23.33 - 25.00,3.22 - 4.89,23.00,2740.46,68701,3,0.492,9
@_,IHP.L,IntegraFin Holdings plc,Financial Services,Asset Management,1.33,342.00 - 345.50,349.50 - 351.50,7.50 - 9.50,352.50,245.00,220299,4,1.243,3
@_,III.L,3i Group Ord,Financial Services,Asset Management,3.00,4035.00 - 4059.00,4092.00 - 4129.00,57.00 - 94.00,4104.00,127.00,1440299,6,0.99,2
*_,IKA.L,Ilika plc,Industrials,Electrical Equipment & Parts,0.19,38.34 - 44.10,40.50 - 46.00,2.16 - 7.66,40.00,3576.77,189200,3,2.276,16
@_,IMB.L,Imperial Brands PLC,Consumer Defensive,Tobacco,3.50,3048.00 - 3100.19,3102.00 - 3153.49,54.00 - 105.49,3130.00,107.30,1807067,6,0.277,2
@_,IMI.L,IMI plc,Industrials,Specialty Industrial Machinery,0.50,2243.60 - 2280.35,2278.00 - 2317.80,34.40 - 74.20,2326.00,143.70,645243,5,0.905,2
*_,IMM.L,ImmuPharma plc,Healthcare,Biotechnology,0.08,1.40 - 1.62,1.61 - 1.79,0.21 - 0.39,1.55,8050.89,1634689,6,2.599,24
@_,INCH.L,Inchcape plc,Consumer Cyclical,Auto & Truck Dealerships,1.20,654.50 - 676.00,664.00 - 683.50,9.50 - 29.00,683.00,282.45,580766,5,1.001,5
@_,INDI.L,Indus Gas Limited,Energy,Oil & Gas E&P,0.00,11.05 - 12.20,12.45 - 13.50,1.40 - 2.45,15.10,5467.71,134668,3,0.422,10
@_,INF.L,Informa plc,Communication Services,Publishing,2.67,866.40 - 884.00,876.40 - 894.20,10.00 - 27.80,891.80,165.10,1995355,6,0.919,3
@_,ING.L,Ingenta plc,Technology,Software Application,1.67,61.00 - 61.26,62.00 - 63.00,1.00 - 2.00,61.50,353.16,12336,2,0.047,3
*_,INOV.L,Schroders Capital Global Innov Trust Ord,Financial Services,Asset Management,0.18,13.00 - 13.23,13.30 - 13.65,0.30 - 0.65,13.00,1254.18,1795783,6,UNKNOWN,11
@_,INPP.L,International Public Partnerships Ord,Financial Services,Asset Management,1.67,120.74 - 122.89,122.19 - 124.25,1.46 - 3.52,124.00,171.25,2463118,6,UNKNOWN,3
@_,INSE.L,Inspired Plc,Industrials,Specialty Business Services,4.00,80.00 - 80.00,81.00 - 81.00,1.00 - 1.00,80.50,62.00,194222,3,0.625,1
*_,INSG.L,Insig AI Plc,Technology,Software Infrastructure,0.13,21.22 - 26.65,21.85 - 27.70,0.63 - 6.48,24.50,2774.86,350594,4,-0.553,15
@_,INVP.L,Investec Group,Financial Services,Capital Markets,0.25,530.50 - 543.00,537.75 - 552.00,7.25 - 21.50,559.00,288.00,1113692,6,0.593,4
*_,IOF.L,Iofina plc,Basic Materials,Specialty Chemicals,0.07,24.40 - 26.00,24.85 - 27.00,0.45 - 2.60,25.50,3071.35,130426,3,0.518,15
*_,IOM.L,iomart Group plc,Technology,Software Infrastructure,0.71,21.70 - 23.00,22.19 - 23.70,0.49 - 2.00,21.90,981.30,89087,3,0.443,7
@_,IPC.L,International Paper Company,Consumer Cyclical,Packaging & Containers,1.00,3455.00 - 3505.00,3510.00 - 3625.00,55.00 - 170.00,3630.00,175.00,26505,2,0.994,2
@_,IPF.L,International Personal Finance plc,Financial Services,Credit Services,1.75,209.00 - 210.23,211.50 - 214.50,2.50 - 5.50,212.50,348.22,1562182,6,1.071,4
@_,IPO.L,IP Group Plc,Financial Services,Asset Management,0.80,58.30 - 59.20,59.10 - 60.93,0.80 - 2.63,61.30,398.62,3398583,6,1.241,5
@_,IPX.L,Impax Asset Management Group Plc,Financial Services,Asset Management,0.88,186.80 - 197.70,191.80 - 200.19,5.00 - 13.39,198.60,621.09,306131,4,1.462,8
*_,IQE.L,IQE plc,Technology,Semiconductor Equipment & Materials,1.33,8.80 - 9.60,9.10 - 9.93,0.30 - 1.13,9.29,568.66,2470581,6,1.706,3
@_,ITH.L,Ithaca Energy plc,Energy,Oil & Gas E&P,0.38,174.02 - 216.50,176.00 - 219.50,1.98 - 45.48,220.00,1443.33,1207204,6,0.436,13
@_,ITIM.L,Itim Group Plc,Technology,Software Application,4.00,50.50 - 50.50,54.00 - 54.00,3.50 - 3.50,50.50,346.50,293,1,0.733,1
*_,ITM.L,ITM Power Plc,Industrials,Specialty Industrial Machinery,0.00,65.60 - 74.69,66.30 - 75.57,0.70 - 9.97,70.50,1462.40,4666421,6,2.752,18
@_,ITRK.L,Intertek Group plc,Industrials,Specialty Business Services,5.00,4664.00 - 4664.00,4764.00 - 4764.00,100.00 - 100.00,4748.00,100.00,272339,4,0.595,1
@_,ITV.L,ITV plc,Communication Services,Broadcasting,1.60,80.90 - 82.75,82.45 - 83.70,1.55 - 2.80,83.64,333.33,7066402,7,1.086,5
@_,ITX.L,Itaconix plc,Basic Materials,Specialty Chemicals,0.20,125.00 - 128.50,127.50 - 135.00,2.50 - 10.00,130.00,1060.20,5720,1,1.038,5
*_,IWG.L,International Workplace Group plc,Real Estate,Real Estate Services,0.00,190.94 - 228.10,196.70 - 233.40,5.76 - 42.46,202.60,515.70,2961998,6,1.757,4
*_,IXI.L,IXICO plc,Healthcare,Biotechnology,0.29,12.06 - 12.25,12.38 - 12.49,0.32 - 0.43,12.16,951.28,31162,2,0.614,7
@_,JAGI.L,JPMorgan Asia Growth & Income Ord,Financial Services,Asset Management,1.40,397.50 - 398.72,403.00 - 404.50,5.50 - 7.00,401.83,337.80,126961,3,UNKNOWN,5
@_,JAM.L,JPMorgan American Ord,Financial Services,Asset Management,4.00,1061.39 - 1063.39,1074.00 - 1076.00,12.61 - 14.61,1070.00,100.88,234422,4,UNKNOWN,2
@_,JAN.L,Jangada Mines Plc,Basic Materials,Other Industrial Metals & Mining,0.15,0.45 - 0.53,0.53 - 0.61,0.08 - 0.16,0.62,10337.84,13458084,8,1.018,20
*_,JARA.L,JPMorgan Global Core Real Assets Limited,UNKNOWN,UNKNOWN,0.17,70.00 - 72.10,71.82 - 75.00,1.82 - 5.00,71.75,2736.62,88486,3,UNKNOWN,18
@_,JCGI.L,JPMorgan China Growth & Income Ord,Financial Services,Asset Management,0.57,255.32 - 262.25,260.00 - 265.42,4.68 - 10.10,263.49,513.95,132673,3,UNKNOWN,7
@_,JCH.L,JPMorgan Claverhouse Investment Trust plc,UNKNOWN,UNKNOWN,2.67,794.40 - 808.66,803.95 - 818.24,9.54 - 23.84,817.72,174.36,89449,3,UNKNOWN,3
@_,JD.L,JD Sports Fashion Plc,Consumer Cyclical,Apparel Retail,0.80,87.80 - 93.00,89.19 - 94.25,1.39 - 6.45,93.20,450.43,16274515,8,1.536,5
@_,JDW.L,J D Wetherspoon plc,Consumer Cyclical,Restaurants,2.00,712.50 - 729.00,735.00 - 739.00,22.50 - 26.50,731.50,217.50,230949,4,1.288,2
@_,JEDT.L,JPMorgan European Discovery Ord,Financial Services,Asset Management,2.00,578.00 - 581.57,587.00 - 588.00,9.00 - 10.00,584.00,123.44,113990,3,UNKNOWN,2
@_,JEGI.L,JPMorgan European Growth & Income Ord,Financial Services,Asset Management,2.67,124.50 - 126.73,126.50 - 128.50,2.00 - 4.00,128.50,207.53,1236719,6,UNKNOWN,3
@_,JEL.L,Jersey Electricity plc,Utilities,Utilities Regulated Electric,0.00,450.50 - 463.00,461.00 - 470.00,10.50 - 19.50,470.00,356.00,2267,1,0.152,3
*_,JEMI.L,JPMorgan Global Emerg Mkts Inc Ord,Financial Services,Asset Management,1.00,150.15 - 152.04,152.50 - 155.50,2.35 - 5.35,151.00,679.31,395283,4,UNKNOWN,6
@_,JET2.L,Jet2 plc,Consumer Cyclical,Travel Services,0.75,1609.00 - 1630.00,1627.56 - 1649.80,18.56 - 40.80,1650.00,236.76,512769,5,1.774,4
*_,JFJ.L,JPMorgan Japanese Ord,Financial Services,Asset Management,0.75,671.12 - 686.00,681.16 - 694.00,10.04 - 22.88,683.00,276.64,305174,4,UNKNOWN,4
